Sex,Year,Total,White,Black,Hispanic,Asian/Pacific Islander,American Indian/Alaska Native,Two or more races,Non-resident alien
Total,1976-77,404956,342290,33159,16636,7044,2498,NA,3329
Total,1980-81,410174,339167,35330,17800,8650,2584,NA,6643
Total,1990-91,481720,391264,38835,25540,15257,3871,NA,6953
Total,1999-00,564933,408822,60208,51563,27778,6474,NA,10088
Total,2000-01,578865,411075,63855,57288,28463,6623,NA,11561
Total,2003-04,665301,456047,81183,72270,33149,8119,NA,14533
Total,2004-05,696660,475513,86402,78557,33669,8435,NA,14084
Total,2005-06,713315,485481,89813,80870,35215,8555,NA,13381
Total,2006-07,727616,491333,91440,85275,37243,8579,NA,13746
Total,2007-08,750166,501467,95566,91289,38848,8827,NA,14169
Total,2008-09,787243,521834,101631,98408,41364,8823,NA,15183
Total,2009-10,848856,552376,113867,112403,44026,10101,NA,16083
Total,2010-11,943506,604745,129044,126297,45489,10180,2,16625
Total,2011-12,1021718,635755,142512,151807,48861,10738,8,17187
Total,2012-13,1007427,617308,135892,157989,49474,10546,12,16835
Total,2013-14,1005155,601959,134621,168106,50368,10338,14,17068
Total,2014-15,1014341,590616,137920,180598,51767,9996,15,17939
Total,2015-16,1008228,566622,134012,196044,53753,9490,16,19374
Total,2016-17,1005687,551057,129880,209159,55814,9265,17,20909
Total,2017-18,1011487,536256,125517,225462,58952,9285,18,23044
Males,1976-77,209672,178236,15330,9105,3630,1216,NA,2155
Males,1980-81,183819,151242,14290,8327,4557,1108,NA,4295
Males,1990-91,198634,161858,14143,10738,7164,1439,NA,3292
Males,1999-00,224721,164317,20968,20947,12009,2222,NA,4258
Males,2000-01,231645,166322,22147,23350,12339,2294,NA,5193
Males,2003-04,260033,183819,25961,27828,13907,2740,NA,5778
Males,2004-05,267536,188569,27151,29658,13802,2774,NA,5582
Males,2005-06,270139,190174,27618,30043,14227,2777,NA,5300
Males,2006-07,275034,191487,28251,31609,15502,2872,NA,5313
Males,2007-08,282695,194354,29984,33852,15941,2989,NA,5575
Males,2008-09,298066,202670,32004,36919,17305,3075,NA,6093
Males,2009-10,322747,215977,36148,42210,18268,3555,NA,6589
Males,2010-11,361408,238012,41649,47911,19085,3727,19,6827
Males,2011-12,393479,251964,46377,57926,20537,3924,20,7182
Males,2012-13,389195,243868,45458,60536,21223,3638,22,7038
Males,2013-14,391474,239289,45868,64658,21824,3682,23,7184
Males,2014-15,396782,236381,47393,69291,22377,3590,25,7753
Males,2015-16,392084,226142,44777,74531,23426,3335,3,8622
Males,2016-17,394147,223637,43170,78470,24459,3370,4,9363
Males,2017-18,398600,219372,41820,84868,25736,3366,6,10480
Females,1976-77,195284,164054,17829,7531,3414,1282,NA,1174
Females,1980-81,226355,187925,21040,9473,4093,1476,NA,2348
Females,1990-91,283086,229406,24692,14802,8093,2432,NA,3661
Females,1999-00,340212,244505,39240,30616,15769,4252,NA,5830
Females,2000-01,347220,244753,41708,33938,16124,4329,NA,6368
Females,2003-04,405268,272228,55222,44442,19242,5379,NA,8755
Females,2004-05,429124,286944,59251,48899,19867,5661,NA,8502
Females,2005-06,443176,295307,62195,50827,20988,5778,NA,8081
Females,2006-07,452582,299846,63189,53666,21741,5707,NA,8433
Females,2007-08,467471,307113,65582,57437,22907,5838,NA,8594
Females,2008-09,489177,319164,69627,61489,24059,5748,NA,9090
Females,2009-10,526109,336399,77719,70193,25758,6546,NA,9494
Females,2010-11,582098,366733,87395,78386,26404,6453,21,9798
Females,2011-12,628239,383791,96135,93881,28324,6814,24,10005
Females,2012-13,618232,373440,90434,97453,28251,6908,5,9797
Females,2013-14,613681,362670,88753,103448,28544,6656,7,9884
Females,2014-15,617559,354235,90527,111307,29390,6406,9,10186
Females,2015-16,616144,340480,89235,121513,30327,6155,10,10752
Females,2016-17,611540,327420,86710,130689,31355,5895,11,11546
Females,2017-18,612887,316884,83697,140594,33216,5919,13,12564
