Sex,Year,Total,White,Black,Hispanic,Asian/Pacific Islander,American Indian/Alaska Native,Two or more races,Non-resident alien
Total,1976-77,917900,807688,58636,18743,13793,3326,NA,15714
Total,1980-81,934800,807319,60673,21832,18794,3593,NA,22589
Total,1990-91,1094538,914093,66375,37342,42529,4583,NA,29616
Total,1999-00,1237875,929102,108018,75063,77909,8717,NA,39066
Total,2000-01,1244171,927357,111307,77745,78902,9049,NA,39811
Total,2003-04,1399542,1026114,131241,94644,92073,10638,NA,44832
Total,2004-05,1439264,1049141,136122,101124,97209,10307,NA,45361
Total,2005-06,1485104,1075471,142405,107575,102371,10938,NA,46344
Total,2006-07,1524729,1100308,146767,114962,105287,11463,NA,45942
Total,2007-08,1563734,1123246,152627,122770,109177,11509,NA,44405
Total,2008-09,1601399,1144628,156603,129473,112581,12221,NA,45893
Total,2009-10,1649919,1167322,164789,140426,117391,12405,NA,47586
Total,2010-11,1716053,1182690,172731,154450,121118,11935,3,52540
Total,2011-12,1792163,1212417,185916,169736,126177,11498,6,59185
Total,2012-13,1840381,1221908,191233,186677,130129,11432,15,64874
Total,2013-14,1870150,1218998,191437,202425,131662,10784,17,69422
Total,2014-15,1894969,1210071,192829,218098,133916,10202,18,75638
Total,2015-16,1920750,1197323,194408,235190,138257,9735,19,84253
Total,2016-17,1956114,1195977,196338,252203,144093,9589,20,91382
Total,2017-18,1980644,1189619,195014,267065,150999,9157,21,98237
Males,1976-77,494424,438161,25147,10318,7638,1804,NA,11356
Males,1980-81,469625,406173,24511,10810,10107,1700,NA,16324
Males,1990-91,504045,421290,24800,16598,21203,1938,NA,18216
Males,1999-00,530367,402954,37029,30304,35853,3463,NA,20764
Males,2000-01,531840,401780,38103,31368,35865,3700,NA,21024
Males,2003-04,595425,445483,43851,37288,41360,4244,NA,23199
Males,2004-05,613000,456592,45810,39490,43711,4143,NA,23254
Males,2005-06,630502,467397,48073,41805,45803,4202,NA,23222
Males,2006-07,649816,480747,49715,44761,47577,4508,NA,22508
Males,2007-08,668184,492360,52298,47797,49535,4523,NA,21671
Males,2008-09,685422,503396,53465,50596,50773,4849,NA,22343
Males,2009-10,706660,513711,56136,55139,53365,4879,NA,23430
Males,2010-11,734159,519992,59015,60869,55321,4798,22,26136
Males,2011-12,765772,532463,63736,67083,57521,4476,24,29548
Males,2012-13,787408,535358,67351,74067,59806,4611,2,32381
Males,2013-14,801905,536009,68290,80312,59844,4171,4,35142
Males,2014-15,812693,530418,69316,86881,61080,4061,8,38692
Males,2015-16,821746,522834,69847,92989,63182,3822,9,43915
Males,2016-17,836021,521359,70568,99344,65405,3731,10,48525
Males,2017-18,844960,516621,70316,104926,68196,3506,11,52527
Females,1976-77,423476,369527,33489,8425,6155,1522,NA,4358
Females,1980-81,465175,401146,36162,11022,8687,1893,NA,6265
Females,1990-91,590493,492803,41575,20744,21326,2645,NA,11400
Females,1999-00,707508,526148,70989,44759,42056,5254,NA,18302
Females,2000-01,712331,525577,73204,46377,43037,5349,NA,18787
Females,2003-04,804117,580631,87390,57356,50713,6394,NA,21633
Females,2004-05,826264,592549,90312,61634,53498,6164,NA,22107
Females,2005-06,854602,608074,94332,65770,56568,6736,NA,23122
Females,2006-07,874913,619561,97052,70201,57710,6955,NA,23434
Females,2007-08,895550,630886,100329,74973,59642,6986,NA,22734
Females,2008-09,915977,641232,103138,78877,61808,7372,NA,23550
Females,2009-10,943259,653611,108653,85287,64026,7526,NA,24156
Females,2010-11,981894,662698,113716,93581,65797,7137,23,26404
Females,2011-12,1026391,679954,122180,102653,68656,7022,25,29637
Females,2012-13,1052973,686550,123882,112610,70323,6821,5,32493
Females,2013-14,1068245,682989,123147,122113,71818,6613,7,34280
Females,2014-15,1082276,679653,123513,131217,72836,6141,12,36946
Females,2015-16,1099004,674489,124561,142201,75075,5913,13,40338
Females,2016-17,1120093,674618,125770,152859,78688,5858,14,42857
Females,2017-18,1135684,672998,124698,162139,82803,5651,16,45710
