Year,Degree level,Count type,value
1952,Bachelor,Total,11094
1954,Bachelor,Total,9279
1956,Bachelor,Total,12423
1958,Bachelor,Total,14308
1960,Bachelor,Total,15576
1962,Bachelor,Total,16915
1964,Bachelor,Total,22723
1966,Bachelor,Total,26916
1968,Bachelor,Total,31826
1970,Bachelor,Total,34034
1971,Bachelor,Total,35705
1972,Bachelor,Total,37269
1973,Bachelor,Total,42207
1974,Bachelor,Total,48244
1975,Bachelor,Total,51609
1976,Bachelor,Total,54154
1977,Bachelor,Total,53464
1978,Bachelor,Total,51360
1979,Bachelor,Total,48713
1980,Bachelor,Total,46254
1981,Bachelor,Total,43078
1982,Bachelor,Total,41501
1983,Bachelor,Total,39924
1984,Bachelor,Total,38593
1985,Bachelor,Total,38354
1986,Bachelor,Total,38395
1987,Bachelor,Total,38074
1988,Bachelor,Total,36688
1989,Bachelor,Total,36068
1990,Bachelor,Total,37304
1991,Bachelor,Total,39482
1992,Bachelor,Total,42892
1993,Bachelor,Total,47009
1994,Bachelor,Total,51296
1995,Bachelor,Total,55983
1996,Bachelor,Total,61014
1997,Bachelor,Total,63973
1998,Bachelor,Total,65917
1999,Bachelor,Total,65310
2000,Bachelor,Total,63630
2001,Bachelor,Total,60576
2002,Bachelor,Total,60309
2003,Bachelor,Total,61294
2004,Bachelor,Total,62624
2005,Bachelor,Total,65915
2006,Bachelor,Total,70602
2007,Bachelor,Total,76809
2008,Bachelor,Total,79869
2009,Bachelor,Total,82828
2010,Bachelor,Total,86391
2011,Bachelor,Total,89984
2012,Bachelor,Total,95850
2013,Bachelor,Total,100397
2014,Bachelor,Total,104657
2015,Bachelor,Total,109904
2016,Bachelor,Total,113794
2017,Bachelor,Total,116768
2018,Bachelor,Total,118663
1952,Bachelor,Male,8212
1954,Bachelor,Male,6710
1956,Bachelor,Male,9515
1958,Bachelor,Male,11159
1960,Bachelor,Male,11654
1962,Bachelor,Male,12136
1964,Bachelor,Male,16321
1966,Bachelor,Male,19368
1968,Bachelor,Male,22986
1970,Bachelor,Male,23919
1971,Bachelor,Male,25319
1972,Bachelor,Male,26314
1973,Bachelor,Male,29625
1974,Bachelor,Male,33217
1975,Bachelor,Male,34580
1976,Bachelor,Male,35498
1977,Bachelor,Male,34178
1978,Bachelor,Male,31673
1979,Bachelor,Male,29173
1980,Bachelor,Male,26797
1981,Bachelor,Male,24124
1982,Bachelor,Male,22722
1983,Bachelor,Male,21572
1984,Bachelor,Male,20565
1985,Bachelor,Male,20071
1986,Bachelor,Male,20000
1987,Bachelor,Male,19684
1988,Bachelor,Male,18267
1989,Bachelor,Male,17998
1990,Bachelor,Male,18363
1991,Bachelor,Male,19418
1992,Bachelor,Male,20816
1993,Bachelor,Male,22870
1994,Bachelor,Male,25071
1995,Bachelor,Male,26734
1996,Bachelor,Male,28921
1997,Bachelor,Male,29562
1998,Bachelor,Male,29663
1999,Bachelor,Male,28507
2000,Bachelor,Male,26579
2001,Bachelor,Male,24600
2002,Bachelor,Male,23694
2003,Bachelor,Male,23356
2004,Bachelor,Male,23691
2005,Bachelor,Male,25104
2006,Bachelor,Male,27178
2007,Bachelor,Male,30581
2008,Bachelor,Male,32402
2009,Bachelor,Male,33707
2010,Bachelor,Male,35866
2011,Bachelor,Male,36888
2012,Bachelor,Male,39542
2013,Bachelor,Male,41556
2014,Bachelor,Male,43440
2015,Bachelor,Male,45104
2016,Bachelor,Male,45613
2017,Bachelor,Male,45514
2018,Bachelor,Male,44852
1952,Bachelor,Female,2882
1954,Bachelor,Female,2569
1956,Bachelor,Female,2908
1958,Bachelor,Female,3149
1960,Bachelor,Female,3922
1962,Bachelor,Female,4779
1964,Bachelor,Female,6402
1966,Bachelor,Female,7548
1968,Bachelor,Female,8840
1970,Bachelor,Female,10115
1971,Bachelor,Female,10386
1972,Bachelor,Female,10955
1973,Bachelor,Female,12582
1974,Bachelor,Female,15027
1975,Bachelor,Female,17029
1976,Bachelor,Female,18656
1977,Bachelor,Female,19286
1978,Bachelor,Female,19687
1979,Bachelor,Female,19540
1980,Bachelor,Female,19457
1981,Bachelor,Female,18954
1982,Bachelor,Female,18779
1983,Bachelor,Female,18352
1984,Bachelor,Female,18028
1985,Bachelor,Female,18283
1986,Bachelor,Female,18395
1987,Bachelor,Female,18390
1988,Bachelor,Female,18421
1989,Bachelor,Female,18070
1990,Bachelor,Female,18941
1991,Bachelor,Female,20064
1992,Bachelor,Female,22076
1993,Bachelor,Female,24139
1994,Bachelor,Female,26225
1995,Bachelor,Female,29249
1996,Bachelor,Female,32093
1997,Bachelor,Female,34411
1998,Bachelor,Female,36254
1999,Bachelor,Female,36803
2000,Bachelor,Female,37051
2001,Bachelor,Female,35976
2002,Bachelor,Female,36615
2003,Bachelor,Female,37938
2004,Bachelor,Female,38933
2005,Bachelor,Female,40811
2006,Bachelor,Female,43424
2007,Bachelor,Female,46228
2008,Bachelor,Female,47467
2009,Bachelor,Female,49121
2010,Bachelor,Female,50525
2011,Bachelor,Female,53096
2012,Bachelor,Female,56308
2013,Bachelor,Female,58841
2014,Bachelor,Female,61217
2015,Bachelor,Female,64800
2016,Bachelor,Female,68181
2017,Bachelor,Female,71254
2018,Bachelor,Female,73811
1952,Master,Total,2307
1954,Master,Total,1610
1956,Master,Total,1759
1958,Master,Total,1852
1960,Master,Total,2154
1962,Master,Total,2642
1964,Master,Total,3296
1966,Master,Total,4232
1968,Master,Total,5506
1970,Master,Total,5800
1971,Master,Total,5625
1972,Master,Total,5989
1973,Master,Total,6156
1974,Master,Total,6408
1975,Master,Total,6429
1976,Master,Total,6457
1977,Master,Total,6953
1978,Master,Total,6651
1979,Master,Total,6638
1980,Master,Total,6339
1981,Master,Total,5766
1982,Master,Total,5679
1983,Master,Total,5711
1984,Master,Total,5489
1985,Master,Total,5109
1986,Master,Total,5064
1987,Master,Total,4995
1988,Master,Total,4871
1989,Master,Total,5034
1990,Master,Total,4941
1991,Master,Total,4834
1992,Master,Total,4862
1993,Master,Total,5026
1994,Master,Total,5462
1995,Master,Total,5873
1996,Master,Total,6593
1997,Master,Total,6986
1998,Master,Total,6848
1999,Master,Total,6966
