Year,Degree level,Count type,value
1971,Bachelor,Total,2388
1972,Bachelor,Total,3402
1973,Bachelor,Total,4304
1974,Bachelor,Total,4756
1975,Bachelor,Total,5033
1976,Bachelor,Total,5652
1977,Bachelor,Total,6407
1978,Bachelor,Total,7201
1979,Bachelor,Total,8719
1980,Bachelor,Total,11154
1981,Bachelor,Total,15121
1982,Bachelor,Total,20267
1983,Bachelor,Total,24565
1984,Bachelor,Total,32439
1985,Bachelor,Total,39121
1986,Bachelor,Total,42337
1987,Bachelor,Total,39767
1988,Bachelor,Total,34651
1989,Bachelor,Total,30560
1990,Bachelor,Total,27347
1991,Bachelor,Total,25159
1992,Bachelor,Total,24821
1993,Bachelor,Total,24519
1994,Bachelor,Total,24527
1995,Bachelor,Total,24737
1996,Bachelor,Total,24506
1997,Bachelor,Total,25422
1998,Bachelor,Total,27829
1999,Bachelor,Total,30552
2000,Bachelor,Total,37788
2001,Bachelor,Total,44142
2002,Bachelor,Total,50365
2003,Bachelor,Total,57433
2004,Bachelor,Total,59488
2005,Bachelor,Total,54111
2006,Bachelor,Total,47702
2007,Bachelor,Total,42164
2008,Bachelor,Total,38523
2009,Bachelor,Total,37992
2010,Bachelor,Total,39593
2011,Bachelor,Total,43066
2012,Bachelor,Total,47406
2013,Bachelor,Total,50961
2014,Bachelor,Total,55271
2015,Bachelor,Total,59586
2016,Bachelor,Total,64402
2017,Bachelor,Total,71416
2018,Bachelor,Total,79598
1971,Bachelor,Male,2064
1972,Bachelor,Male,2941
1973,Bachelor,Male,3664
1974,Bachelor,Male,3976
1975,Bachelor,Male,4080
1976,Bachelor,Male,4534
1977,Bachelor,Male,4876
1978,Bachelor,Male,5349
1979,Bachelor,Male,6272
1980,Bachelor,Male,7782
1981,Bachelor,Male,10202
1982,Bachelor,Male,13218
1983,Bachelor,Male,15641
1984,Bachelor,Male,20416
1985,Bachelor,Male,24737
1986,Bachelor,Male,27208
1987,Bachelor,Male,25962
1988,Bachelor,Male,23414
1989,Bachelor,Male,21143
1990,Bachelor,Male,19159
1991,Bachelor,Male,17771
1992,Bachelor,Male,17685
1993,Bachelor,Male,17606
1994,Bachelor,Male,17528
1995,Bachelor,Male,17684
1996,Bachelor,Male,17757
1997,Bachelor,Male,18527
1998,Bachelor,Male,20372
1999,Bachelor,Male,22289
2000,Bachelor,Male,27185
2001,Bachelor,Male,31923
2002,Bachelor,Male,36462
2003,Bachelor,Male,41950
2004,Bachelor,Male,44585
2005,Bachelor,Male,42125
2006,Bachelor,Male,37905
2007,Bachelor,Male,34338
2008,Bachelor,Male,31731
2009,Bachelor,Male,31213
2010,Bachelor,Male,32414
2011,Bachelor,Male,35477
2012,Bachelor,Male,38796
2013,Bachelor,Male,41874
2014,Bachelor,Male,45320
2015,Bachelor,Male,48844
2016,Bachelor,Male,52330
2017,Bachelor,Male,57763
2018,Bachelor,Male,63704
1971,Bachelor,Female,324
1972,Bachelor,Female,461
1973,Bachelor,Female,640
1974,Bachelor,Female,780
1975,Bachelor,Female,953
1976,Bachelor,Female,1118
1977,Bachelor,Female,1531
1978,Bachelor,Female,1852
1979,Bachelor,Female,2447
1980,Bachelor,Female,3372
1981,Bachelor,Female,4919
1982,Bachelor,Female,7049
1983,Bachelor,Female,8924
1984,Bachelor,Female,12023
1985,Bachelor,Female,14384
1986,Bachelor,Female,15129
1987,Bachelor,Female,13805
1988,Bachelor,Female,11237
1989,Bachelor,Female,9417
1990,Bachelor,Female,8188
1991,Bachelor,Female,7388
1992,Bachelor,Female,7136
1993,Bachelor,Female,6913
1994,Bachelor,Female,6999
1995,Bachelor,Female,7053
1996,Bachelor,Female,6749
1997,Bachelor,Female,6895
1998,Bachelor,Female,7457
1999,Bachelor,Female,8263
2000,Bachelor,Female,10603
2001,Bachelor,Female,12219
2002,Bachelor,Female,13903
2003,Bachelor,Female,15483
2004,Bachelor,Female,14903
2005,Bachelor,Female,11986
2006,Bachelor,Female,9797
2007,Bachelor,Female,7826
2008,Bachelor,Female,6792
2009,Bachelor,Female,6779
2010,Bachelor,Female,7179
2011,Bachelor,Female,7589
2012,Bachelor,Female,8610
2013,Bachelor,Female,9087
2014,Bachelor,Female,9951
2015,Bachelor,Female,10742
2016,Bachelor,Female,12072
2017,Bachelor,Female,13653
2018,Bachelor,Female,15894
1971,Master,Total,1588
1972,Master,Total,1977
1973,Master,Total,2113
1974,Master,Total,2276
1975,Master,Total,2299
1976,Master,Total,2603
1977,Master,Total,2798
1978,Master,Total,3038
1979,Master,Total,3055
1980,Master,Total,3647
1981,Master,Total,4218
1982,Master,Total,4935
1983,Master,Total,5321
1984,Master,Total,6190
1985,Master,Total,7101
1986,Master,Total,8070
1987,Master,Total,8481
1988,Master,Total,9197
1989,Master,Total,9414
1990,Master,Total,9677
1991,Master,Total,9324
1992,Master,Total,9655
1993,Master,Total,10353
1994,Master,Total,10568
1995,Master,Total,10595
1996,Master,Total,10579
1997,Master,Total,10513
1998,Master,Total,11765
1999,Master,Total,12843
2000,Master,Total,14990
2001,Master,Total,16911
2002,Master,Total,17173
2003,Master,Total,19509
2004,Master,Total,20143
2005,Master,Total,18416
2006,Master,Total,17195
2007,Master,Total,16232
2008,Master,Total,17096
2009,Master,Total,17907
2010,Master,Total,17955
2011,Master,Total,19516
2012,Master,Total,20925
2013,Master,Total,22782
2014,Master,Total,24514
2015,Master,Total,31475
2016,Master,Total,40130
2017,Master,Total,46553
2018,Master,Total,46468
1971,Master,Male,1424
1972,Master,Male,1752
1973,Master,Male,1888
1974,Master,Male,1983
1975,Master,Male,1961
1976,Master,Male,2226
1977,Master,Male,2332
1978,Master,Male,2471
1979,Master,Male,2480
1980,Master,Male,2883
1981,Master,Male,3247
1982,Master,Male,3625
1983,Master,Male,3813
1984,Master,Male,4379
1985,Master,Male,5064
1986,Master,Male,5658
1987,Master,Male,5985
1988,Master,Male,6726
1989,Master,Male,6775
1990,Master,Male,6960
1991,Master,Male,6563
1992,Master,Male,6980
1993,Master,Male,7557
1994,Master,Male,7836
1995,Master,Male,7805
1996,Master,Male,7729
1997,Master,Male,7526
1998,Master,Male,8343
1999,Master,Male,8866
2000,Master,Male,9978
2001,Master,Male,11195
2002,Master,Male,11447
2003,Master,Male,13267
2004,Master,Male,13868
2005,Master,Male,13136
2006,Master,Male,12579
2007,Master,Male,11985
2008,Master,Male,12516
2009,Master,Male,13063
2010,Master,Male,13019
2011,Master,Male,14010
2012,Master,Male,15132
2013,Master,Male,16539
2014,Master,Male,17472
2015,Master,Male,21893
2016,Master,Male,27788
2017,Master,Male,32172
2018,Master,Male,31397
1971,Master,Female,164
1972,Master,Female,225
1973,Master,Female,225
1974,Master,Female,293
1975,Master,Female,338
1976,Master,Female,377
1977,Master,Female,466
1978,Master,Female,567
1979,Master,Female,575
1980,Master,Female,764
1981,Master,Female,971
1982,Master,Female,1310
1983,Master,Female,1508
1984,Master,Female,1811
1985,Master,Female,2037
1986,Master,Female,2412
1987,Master,Female,2496
1988,Master,Female,2471
1989,Master,Female,2639
1990,Master,Female,2717
1991,Master,Female,2761
1992,Master,Female,2675
1993,Master,Female,2796
1994,Master,Female,2732
1995,Master,Female,2790
1996,Master,Female,2850
1997,Master,Female,2987
1998,Master,Female,3422
1999,Master,Female,3977
2000,Master,Female,5012
2001,Master,Female,5716
2002,Master,Female,5726
2003,Master,Female,6242
2004,Master,Female,6275
2005,Master,Female,5280
2006,Master,Female,4616
2007,Master,Female,4247
2008,Master,Female,4580
2009,Master,Female,4844
2010,Master,Female,4936
