Sex,Year,Total,White,Black,Hispanic,Asian/Pacific Islander,American Indian/Alaska Native,Two or more races,Non-resident alien
Total,1976-77,91218,79932,3575,1533,1674,240,NA,4264
Total,1980-81,97281,84200,3893,1924,2267,312,NA,4685
Total,1990-91,105547,81791,4429,3210,5120,356,NA,10641
Total,1999-00,118736,82984,7078,5042,10682,708,NA,12242
Total,2000-01,119585,82321,7035,5204,11587,705,NA,12733
Total,2003-04,126087,84695,8089,5795,12371,771,NA,14366
Total,2004-05,134387,89763,8527,6115,13176,788,NA,16018
Total,2005-06,138056,91050,8523,6202,13686,929,NA,17666
Total,2006-07,144694,94225,9371,6576,14727,917,NA,18878
Total,2007-08,149190,97701,9451,6933,15170,932,NA,19003
Total,2008-09,154564,101400,10188,7497,15840,978,NA,18661
Total,2009-10,158590,104419,10413,8085,16560,952,NA,18161
Total,2010-11,163827,105990,10934,8662,17078,947,3,18965
Total,2011-12,170217,109365,11794,9223,17896,915,6,19453
Total,2012-13,175026,110759,12085,10108,18406,900,15,20328
Total,2013-14,177587,110157,12621,10665,19118,861,17,21199
Total,2014-15,178548,108914,13272,11263,19186,884,18,21359
Total,2015-16,178134,107235,13377,11781,19614,811,19,21534
Total,2016-17,181357,107444,14070,12493,20345,747,20,22092
Total,2017-18,184074,107415,14241,13253,20762,707,21,23199
Males,1976-77,71709,62977,2338,1216,1311,182,NA,3685
Males,1980-81,68853,59574,2206,1338,1589,223,NA,3923
Males,1990-91,64242,48812,1991,1835,3038,196,NA,8370
Males,1999-00,64930,45308,2762,2602,5467,333,NA,8458
Males,2000-01,64171,44131,2655,2564,5759,346,NA,8716
Males,2003-04,63981,43014,2888,2731,5620,357,NA,9371
Males,2004-05,67257,44749,2904,2863,5913,370,NA,10458
Males,2005-06,68912,45476,2949,2850,5977,429,NA,11231
Males,2006-07,71311,46215,3223,3037,6449,421,NA,11966
Males,2007-08,73340,48118,3291,3139,6516,447,NA,11829
Males,2008-09,75674,49880,3531,3388,6914,460,NA,11501
Males,2009-10,76610,50707,3609,3642,7184,430,NA,11038
Males,2010-11,79672,51688,3838,3990,7545,454,22,11600
Males,2011-12,82670,53488,4121,4218,7792,418,24,11932
Males,2012-13,85080,54196,4310,4473,8190,400,2,12426
Males,2013-14,85585,53374,4510,4788,8270,365,4,12981
Males,2014-15,84922,52069,4464,5011,8330,410,8,12960
Males,2015-16,84240,50694,4564,5122,8632,371,9,13139
Males,2016-17,84649,50002,4794,5421,8906,307,10,13439
Males,2017-18,85568,49649,4957,5856,9004,309,11,13924
Females,1976-77,19509,16955,1237,317,363,58,NA,579
Females,1980-81,28428,24626,1687,586,678,89,NA,762
Females,1990-91,41305,32979,2438,1375,2082,160,NA,2271
Females,1999-00,53806,37676,4316,2440,5215,375,NA,3784
Females,2000-01,55414,38190,4380,2640,5828,359,NA,4017
Females,2003-04,62106,41681,5201,3064,6751,414,NA,4995
Females,2004-05,67130,45014,5623,3252,7263,418,NA,5560
Females,2005-06,69144,45574,5574,3352,7709,500,NA,6435
Females,2006-07,73383,48010,6148,3539,8278,496,NA,6912
Females,2007-08,75850,49583,6160,3794,8654,485,NA,7174
Females,2008-09,78890,51520,6657,4109,8926,518,NA,7160
Females,2009-10,81980,53712,6804,4443,9376,522,NA,7123
Females,2010-11,84155,54302,7096,4672,9533,493,23,7365
Females,2011-12,87547,55877,7673,5005,10104,497,25,7521
Females,2012-13,89946,56563,7775,5635,10216,500,5,7902
Females,2013-14,92002,56783,8111,5877,10848,496,7,8218
Females,2014-15,93626,56845,8808,6252,10856,474,12,8399
Females,2015-16,93894,56541,8813,6659,10982,440,13,8395
Females,2016-17,96708,57442,9276,7072,11439,440,14,8653
Females,2017-18,98506,57766,9284,7397,11758,398,16,9275
