Year,Degree level,Count type,value
1950,Bachelor,Total,52246
1960,Bachelor,Total,37679
1970,Bachelor,Total,44479
1971,Bachelor,Total,50182
1972,Bachelor,Total,51258
1973,Bachelor,Total,51384
1974,Bachelor,Total,50412
1975,Bachelor,Total,47131
1976,Bachelor,Total,46676
1977,Bachelor,Total,49482
1978,Bachelor,Total,56150
1979,Bachelor,Total,62898
1980,Bachelor,Total,69387
1981,Bachelor,Total,75355
1982,Bachelor,Total,80632
1983,Bachelor,Total,89811
1984,Bachelor,Total,95295
1985,Bachelor,Total,97099
1986,Bachelor,Total,97122
1987,Bachelor,Total,93560
1988,Bachelor,Total,89406
1989,Bachelor,Total,85982
1990,Bachelor,Total,82480
1991,Bachelor,Total,79751
1992,Bachelor,Total,78036
1993,Bachelor,Total,78619
1994,Bachelor,Total,78580
1995,Bachelor,Total,78483
1996,Bachelor,Total,77997
1997,Bachelor,Total,75659
1998,Bachelor,Total,74557
1999,Bachelor,Total,72796
2000,Bachelor,Total,73323
2001,Bachelor,Total,72869
2002,Bachelor,Total,74588
2003,Bachelor,Total,77231
2004,Bachelor,Total,78079
2005,Bachelor,Total,79544
2006,Bachelor,Total,81406
2007,Bachelor,Total,81868
2008,Bachelor,Total,83682
2009,Bachelor,Total,84404
2010,Bachelor,Total,88735
2011,Bachelor,Total,93097
2012,Bachelor,Total,98654
2013,Bachelor,Total,102997
2014,Bachelor,Total,108976
2015,Bachelor,Total,115105
2016,Bachelor,Total,123948
2017,Bachelor,Total,133790
2018,Bachelor,Total,140683
1950,Bachelor,Male,52071
1960,Bachelor,Male,37537
1970,Bachelor,Male,44149
1971,Bachelor,Male,49775
1972,Bachelor,Male,50726
1973,Bachelor,Male,50766
1974,Bachelor,Male,49611
1975,Bachelor,Male,46105
1976,Bachelor,Male,45184
1977,Bachelor,Male,47238
1978,Bachelor,Male,52353
1979,Bachelor,Male,57603
1980,Bachelor,Male,62877
1981,Bachelor,Male,67573
1982,Bachelor,Male,71305
1983,Bachelor,Male,78673
1984,Bachelor,Male,82841
1985,Bachelor,Male,83991
