Year,Degree level,Count type,value
1971,Bachelor,Total,25223
1972,Bachelor,Total,28611
1973,Bachelor,Total,33562
1974,Bachelor,Total,41421
1975,Bachelor,Total,49002
1976,Bachelor,Total,53885
1977,Bachelor,Total,57222
1978,Bachelor,Total,59445
1979,Bachelor,Total,62095
1980,Bachelor,Total,63848
1981,Bachelor,Total,63665
1982,Bachelor,Total,63660
1983,Bachelor,Total,65642
1984,Bachelor,Total,65305
1985,Bachelor,Total,65331
1986,Bachelor,Total,65309
1987,Bachelor,Total,63963
1988,Bachelor,Total,61614
1989,Bachelor,Total,59850
1990,Bachelor,Total,58983
1991,Bachelor,Total,59875
1992,Bachelor,Total,62779
1993,Bachelor,Total,68434
1994,Bachelor,Total,75890
1995,Bachelor,Total,81596
1996,Bachelor,Total,86087
1997,Bachelor,Total,87997
1998,Bachelor,Total,86843
1999,Bachelor,Total,84989
2000,Bachelor,Total,80863
2001,Bachelor,Total,75933
2002,Bachelor,Total,72887
2003,Bachelor,Total,71261
2004,Bachelor,Total,73934
2005,Bachelor,Total,80685
2006,Bachelor,Total,91973
2007,Bachelor,Total,101898
2008,Bachelor,Total,111548
2009,Bachelor,Total,120420
2010,Bachelor,Total,129623
2011,Bachelor,Total,143463
2012,Bachelor,Total,163675
2013,Bachelor,Total,181149
2014,Bachelor,Total,198777
2015,Bachelor,Total,216228
2016,Bachelor,Total,228907
2017,Bachelor,Total,237979
2018,Bachelor,Total,244909
1971,Bachelor,Male,5785
1972,Bachelor,Male,7005
1973,Bachelor,Male,7752
1974,Bachelor,Male,9347
1975,Bachelor,Male,10844
1976,Bachelor,Male,11386
1977,Bachelor,Male,11896
1978,Bachelor,Male,11600
1979,Bachelor,Male,11214
1980,Bachelor,Male,11330
1981,Bachelor,Male,10531
1982,Bachelor,Male,10110
1983,Bachelor,Male,10247
1984,Bachelor,Male,10068
1985,Bachelor,Male,9741
1986,Bachelor,Male,9629
1987,Bachelor,Male,9137
1988,Bachelor,Male,8955
1989,Bachelor,Male,8878
1990,Bachelor,Male,9075
1991,Bachelor,Male,9619
1992,Bachelor,Male,10330
1993,Bachelor,Male,11605
1994,Bachelor,Male,13377
1995,Bachelor,Male,14812
1996,Bachelor,Male,15942
1997,Bachelor,Male,16440
1998,Bachelor,Male,15700
1999,Bachelor,Male,15191
2000,Bachelor,Male,13342
2001,Bachelor,Male,12514
2002,Bachelor,Male,10869
