Sex,Year,Total,White,Black,Hispanic,Asian/Pacific Islander,American Indian/Alaska Native,Two or more races,Non-resident alien
Total,1976-77,322463,271402,21252,6136,5127,1018,NA,17528
Total,1980-81,301081,247475,17436,6534,6348,1044,NA,22244
Total,1990-91,342863,265927,17023,8981,11869,1189,NA,37874
Total,1999-00,463185,324990,36606,19379,23523,2263,NA,56424
Total,2000-01,473502,324211,38853,21661,24544,2496,NA,61737
Total,2003-04,564272,373448,51402,29806,31202,3206,NA,75208
Total,2004-05,580151,383246,55330,31639,33042,3310,NA,73584
Total,2005-06,599862,397519,59822,32578,34302,3519,NA,72122
Total,2006-07,610703,403623,63439,34962,36420,3590,NA,68669
Total,2007-08,630844,413348,65912,36899,37743,3775,NA,73167
Total,2008-09,662082,427713,70772,39567,40510,3777,NA,79743
Total,2009-10,693313,445158,76472,43603,42520,3965,NA,81595
Total,2010-11,730922,462922,80742,46823,43482,3946,20,86410
Total,2011-12,755967,470822,86007,50994,45379,3681,25,89261
Total,2012-13,751718,455896,87989,52991,44906,3693,4,94449
Total,2013-14,754582,444771,88606,55962,44533,3512,6,103781
Total,2014-15,758804,433096,87288,58752,44489,3410,7,117141
Total,2015-16,785757,431885,88786,63060,45921,3538,8,135978
Total,2016-17,804542,433638,89577,67026,47810,3397,9,145420
Total,2017-18,820102,439051,91273,72470,50091,3318,10,145049
Males,1976-77,172703,144042,7970,3328,3128,565,NA,13670
Males,1980-81,151602,120927,6418,3155,3830,507,NA,16765
Males,1990-91,160842,117993,6201,4017,6765,495,NA,25371
Males,1999-00,196129,131221,11642,7738,11299,845,NA,33384
Males,2000-01,197770,128516,11878,8371,11561,925,NA,36519
Males,2003-04,233056,146369,15027,10929,14551,1137,NA,45043
Males,2004-05,237155,150076,16136,11501,15238,1167,NA,43037
Males,2005-06,241701,153696,17388,11738,16037,1253,NA,41589
Males,2006-07,242213,154250,18340,12471,16689,1275,NA,39188
Males,2007-08,250203,157622,18759,13166,17480,1294,NA,41882
Males,2008-09,263515,162863,20146,14314,18865,1349,NA,45978
Males,2009-10,275317,170243,22121,15554,19423,1419,NA,46557
Males,2010-11,291680,177786,23746,17183,19918,1409,11,49098
Males,2011-12,302484,183222,25284,18633,20751,1298,12,49778
Males,2012-13,301552,177208,26417,19441,20456,1280,14,52278
Males,2013-14,302846,173303,26608,20565,19955,1219,15,56306
Males,2014-15,306615,168151,26295,21384,19577,1223,16,64547
Males,2015-16,320574,166161,27024,22749,20071,1229,17,77211
Males,2016-17,326857,164734,26978,23749,20693,1151,19,83099
Males,2017-18,326870,164714,27552,25255,21273,1076,21,80342
Females,1976-77,149760,127360,13282,2808,1999,453,NA,3858
Females,1980-81,149479,126548,11018,3379,2518,537,NA,5479
Females,1990-91,182021,147934,10822,4964,5104,694,NA,12503
Females,1999-00,267056,193769,24964,11641,12224,1418,NA,23040
Females,2000-01,275732,195695,26975,13290,12983,1571,NA,25218
Females,2003-04,331216,227079,36375,18877,16651,2069,NA,30165
Females,2004-05,342996,233170,39194,20138,17804,2143,NA,30547
Females,2005-06,358161,243823,42434,20840,18265,2266,NA,30533
Females,2006-07,368490,249373,45099,22491,19731,2315,NA,29481
Females,2007-08,380641,255726,47153,23733,20263,2481,NA,31285
Females,2008-09,398567,264850,50626,25253,21645,2428,NA,33765
Females,2009-10,417996,274915,54351,28049,23097,2546,NA,35038
Females,2010-11,439242,285136,56996,29640,23564,2537,13,37312
Females,2011-12,453483,287600,60723,32361,24628,2383,18,39483
Females,2012-13,450166,278688,61572,33550,24450,2413,22,42171
Females,2013-14,451736,271468,61998,35397,24578,2293,23,47475
Females,2014-15,452189,264945,60993,37368,24912,2187,24,52594
Females,2015-16,465183,265724,61762,40311,25850,2309,2,58767
Females,2016-17,477685,268904,62599,43277,27117,2246,3,62321
Females,2017-18,493232,274337,63721,47215,28818,2242,5,64707
