Year,Degree level,Count type,value
1950,Bachelor,Total,6382
1960,Bachelor,Total,11399
1968,Bachelor,Total,23513
1970,Bachelor,Total,27442
1971,Bachelor,Total,24801
1972,Bachelor,Total,23713
1973,Bachelor,Total,23067
1974,Bachelor,Total,21635
1975,Bachelor,Total,18181
1976,Bachelor,Total,15984
1977,Bachelor,Total,14196
1978,Bachelor,Total,12569
1979,Bachelor,Total,11806
1980,Bachelor,Total,11378
1981,Bachelor,Total,11078
1982,Bachelor,Total,11599
1983,Bachelor,Total,12294
1984,Bachelor,Total,13087
1985,Bachelor,Total,15009
1986,Bachelor,Total,16122
1987,Bachelor,Total,16257
1988,Bachelor,Total,15712
1989,Bachelor,Total,15017
1990,Bachelor,Total,14276
1991,Bachelor,Total,14393
1992,Bachelor,Total,14468
1993,Bachelor,Total,14384
1994,Bachelor,Total,14171
1995,Bachelor,Total,13494
1996,Bachelor,Total,12713
1997,Bachelor,Total,12401
1998,Bachelor,Total,11795
1999,Bachelor,Total,12011
2000,Bachelor,Total,11418
2001,Bachelor,Total,11171
2002,Bachelor,Total,11950
2003,Bachelor,Total,12505
2004,Bachelor,Total,13327
2005,Bachelor,Total,14351
2006,Bachelor,Total,14760
2007,Bachelor,Total,14958
2008,Bachelor,Total,15169
2009,Bachelor,Total,15507
2010,Bachelor,Total,16029
2011,Bachelor,Total,17182
2012,Bachelor,Total,18841
2013,Bachelor,Total,20449
2014,Bachelor,Total,20987
2015,Bachelor,Total,21854
2016,Bachelor,Total,22778
2017,Bachelor,Total,24075
2018,Bachelor,Total,25256
1950,Bachelor,Male,4942
1960,Bachelor,Male,8293
1968,Bachelor,Male,14782
1970,Bachelor,Male,17177
1971,Bachelor,Male,15369
1972,Bachelor,Male,14454
1973,Bachelor,Male,13796
1974,Bachelor,Male,12791
1975,Bachelor,Male,10586
1976,Bachelor,Male,9475
1977,Bachelor,Male,8303
1978,Bachelor,Male,7398
1979,Bachelor,Male,6899
1980,Bachelor,Male,6562
1981,Bachelor,Male,6342
1982,Bachelor,Male,6593
1983,Bachelor,Male,6888
1984,Bachelor,Male,7290
1985,Bachelor,Male,8080
1986,Bachelor,Male,8623
1987,Bachelor,Male,8673
1988,Bachelor,Male,8408
1989,Bachelor,Male,8081
1990,Bachelor,Male,7674
1991,Bachelor,Male,7580
1992,Bachelor,Male,7668
1993,Bachelor,Male,7566
1994,Bachelor,Male,7594
1995,Bachelor,Male,7154
1996,Bachelor,Male,6847
1997,Bachelor,Male,6649
1998,Bachelor,Male,6247
1999,Bachelor,Male,6206
2000,Bachelor,Male,5955
