Year,Degree level,Count type,value
1960,Bachelor,Total,16007
1968,Bachelor,Total,19380
1970,Bachelor,Total,21439
1971,Bachelor,Total,21410
1972,Bachelor,Total,20743
1973,Bachelor,Total,20692
1974,Bachelor,Total,21170
1975,Bachelor,Total,20770
1976,Bachelor,Total,21458
1977,Bachelor,Total,22482
1978,Bachelor,Total,22975
1979,Bachelor,Total,23197
1980,Bachelor,Total,23407
1981,Bachelor,Total,23936
1982,Bachelor,Total,24045
1983,Bachelor,Total,23374
1984,Bachelor,Total,23645
1985,Bachelor,Total,23694
1986,Bachelor,Total,21711
1987,Bachelor,Total,20060
1988,Bachelor,Total,17797
1989,Bachelor,Total,17179
1990,Bachelor,Total,16056
1991,Bachelor,Total,16334
1992,Bachelor,Total,16970
1993,Bachelor,Total,17577
1994,Bachelor,Total,18474
1995,Bachelor,Total,19247
1996,Bachelor,Total,19716
1997,Bachelor,Total,19594
1998,Bachelor,Total,19454
1999,Bachelor,Total,18448
2000,Bachelor,Total,18427
2001,Bachelor,Total,18025
2002,Bachelor,Total,17890
2003,Bachelor,Total,18038
2004,Bachelor,Total,18131
2005,Bachelor,Total,19104
2006,Bachelor,Total,20521
2007,Bachelor,Total,21295
2008,Bachelor,Total,22164
2009,Bachelor,Total,22691
2010,Bachelor,Total,23381
2011,Bachelor,Total,24705
2012,Bachelor,Total,26664
2013,Bachelor,Total,28053
2014,Bachelor,Total,29307
2015,Bachelor,Total,30042
2016,Bachelor,Total,30483
2017,Bachelor,Total,31272
2018,Bachelor,Total,31542
1960,Bachelor,Male,14013
1968,Bachelor,Male,16739
1970,Bachelor,Male,18522
1971,Bachelor,Male,18457
1972,Bachelor,Male,17661
1973,Bachelor,Male,17622
1974,Bachelor,Male,17669
1975,Bachelor,Male,16986
1976,Bachelor,Male,17349
1977,Bachelor,Male,17985
1978,Bachelor,Male,18083
1979,Bachelor,Male,17976
1980,Bachelor,Male,17861
1981,Bachelor,Male,18052
1982,Bachelor,Male,17861
1983,Bachelor,Male,16988
1984,Bachelor,Male,17112
1985,Bachelor,Male,17065
1986,Bachelor,Male,15750
1987,Bachelor,Male,14365
1988,Bachelor,Male,12385
1989,Bachelor,Male,12071
1990,Bachelor,Male,11026
1991,Bachelor,Male,11170
1992,Bachelor,Male,11443
1993,Bachelor,Male,11853
1994,Bachelor,Male,12271
1995,Bachelor,Male,12556
1996,Bachelor,Male,12634
1997,Bachelor,Male,12285
1998,Bachelor,Male,11999
1999,Bachelor,Male,11119
2000,Bachelor,Male,11019
2001,Bachelor,Male,10628
2002,Bachelor,Male,10349
2003,Bachelor,Male,10625
2004,Bachelor,Male,10577
2005,Bachelor,Male,11065
2006,Bachelor,Male,11978
2007,Bachelor,Male,12606
2008,Bachelor,Male,13137
2009,Bachelor,Male,13465
2010,Bachelor,Male,13866
2011,Bachelor,Male,14778
2012,Bachelor,Male,15972
2013,Bachelor,Male,17142
2014,Bachelor,Male,17804
2015,Bachelor,Male,18480
2016,Bachelor,Male,18671
2017,Bachelor,Male,18863
2018,Bachelor,Male,18938
1960,Bachelor,Female,1994
1968,Bachelor,Female,2641
1970,Bachelor,Female,2917
1971,Bachelor,Female,2953
1972,Bachelor,Female,3082
1973,Bachelor,Female,3070
1974,Bachelor,Female,3501
1975,Bachelor,Female,3784
1976,Bachelor,Female,4109
1977,Bachelor,Female,4497
1978,Bachelor,Female,4892
1979,Bachelor,Female,5221
1980,Bachelor,Female,5546
1981,Bachelor,Female,5884
1982,Bachelor,Female,6184
1983,Bachelor,Female,6386
1984,Bachelor,Female,6533
1985,Bachelor,Female,6629
1986,Bachelor,Female,5961
1987,Bachelor,Female,5695
1988,Bachelor,Female,5412
1989,Bachelor,Female,5108
1990,Bachelor,Female,5030
1991,Bachelor,Female,5164
1992,Bachelor,Female,5527
1993,Bachelor,Female,5724
1994,Bachelor,Female,6203
1995,Bachelor,Female,6691
1996,Bachelor,Female,7082
1997,Bachelor,Female,7309
1998,Bachelor,Female,7455
1999,Bachelor,Female,7329
2000,Bachelor,Female,7408
2001,Bachelor,Female,7397
2002,Bachelor,Female,7541
2003,Bachelor,Female,7413
2004,Bachelor,Female,7554
2005,Bachelor,Female,8039
2006,Bachelor,Female,8543
2007,Bachelor,Female,8689
2008,Bachelor,Female,9027
2009,Bachelor,Female,9226
2010,Bachelor,Female,9515
2011,Bachelor,Female,9927
2012,Bachelor,Female,10692
2013,Bachelor,Female,10911
2014,Bachelor,Female,11503
2015,Bachelor,Female,11562
2016,Bachelor,Female,11812
2017,Bachelor,Female,12409
2018,Bachelor,Female,12604
1960,Master,Total,3376
1968,Master,Total,5499
1970,Master,Total,5908
1971,Master,Total,6336
1972,Master,Total,6268
1973,Master,Total,6230
1974,Master,Total,6019
1975,Master,Total,5782
1976,Master,Total,5428
1977,Master,Total,5281
1978,Master,Total,5507
1979,Master,Total,5418
1980,Master,Total,5167
1981,Master,Total,5246
1982,Master,Total,5446
1983,Master,Total,5250
1984,Master,Total,5541
1985,Master,Total,5752
1986,Master,Total,5860
1987,Master,Total,5586
1988,Master,Total,5696
1989,Master,Total,5691
1990,Master,Total,5410
1991,Master,Total,5281
1992,Master,Total,5397
1993,Master,Total,5392
1994,Master,Total,5718
1995,Master,Total,5798
1996,Master,Total,5910
1997,Master,Total,5616
1998,Master,Total,5411
1999,Master,Total,5241
2000,Master,Total,4888
2001,Master,Total,5134
2002,Master,Total,5082
2003,Master,Total,5196
2004,Master,Total,5714
2005,Master,Total,5823
2006,Master,Total,6063
2007,Master,Total,6015
2008,Master,Total,6058
2009,Master,Total,5862
2010,Master,Total,6066
2011,Master,Total,6386
2012,Master,Total,6911
2013,Master,Total,7014
2014,Master,Total,6984
2015,Master,Total,7100
2016,Master,Total,7131
2017,Master,Total,7136
2018,Master,Total,7196
1960,Master,Male,3049
1968,Master,Male,4869
1970,Master,Male,5069
1971,Master,Male,5495
1972,Master,Male,5390
1973,Master,Male,5388
1974,Master,Male,5157
1975,Master,Male,4949
1976,Master,Male,4622
1977,Master,Male,4411
1978,Master,Male,4583
1979,Master,Male,4438
1980,Master,Male,4210
1981,Master,Male,4172
1982,Master,Male,4274
1983,Master,Male,4131
1984,Master,Male,4249
1985,Master,Male,4425
1986,Master,Male,4443
1987,Master,Male,4193
1988,Master,Male,4300
1989,Master,Male,4180
1990,Master,Male,3996
1991,Master,Male,3823
1992,Master,Male,3935
1993,Master,Male,3840
1994,Master,Male,4069
1995,Master,Male,4058
1996,Master,Male,4031
1997,Master,Male,3799
1998,Master,Male,3484
1999,Master,Male,3454
2000,Master,Male,3167
2001,Master,Male,3276
2002,Master,Male,3186
2003,Master,Male,3284
2004,Master,Male,3470
2005,Master,Male,3569
2006,Master,Male,3666
2007,Master,Male,3677
2008,Master,Male,3758
2009,Master,Male,3576
2010,Master,Male,3654
2011,Master,Male,3907
2012,Master,Male,4299
2013,Master,Male,4377
2014,Master,Male,4312
2015,Master,Male,4438
2016,Master,Male,4435
2017,Master,Male,4416
2018,Master,Male,4492
1960,Master,Female,327
1968,Master,Female,630
1970,Master,Female,839
1971,Master,Female,841
1972,Master,Female,878
1973,Master,Female,842
1974,Master,Female,862
1975,Master,Female,833
1976,Master,Female,806
1977,Master,Female,870
1978,Master,Female,924
1979,Master,Female,980
1980,Master,Female,957
1981,Master,Female,1074
1982,Master,Female,1172
1983,Master,Female,1119
1984,Master,Female,1292
1985,Master,Female,1327
1986,Master,Female,1417
1987,Master,Female,1393
1988,Master,Female,1396
1989,Master,Female,1511
1990,Master,Female,1414
1991,Master,Female,1458
1992,Master,Female,1462
1993,Master,Female,1552
1994,Master,Female,1649
1995,Master,Female,1740
1996,Master,Female,1879
1997,Master,Female,1817
1998,Master,Female,1927
1999,Master,Female,1787
2000,Master,Female,1721
2001,Master,Female,1858
2002,Master,Female,1896
2003,Master,Female,1912
2004,Master,Female,2244
2005,Master,Female,2254
2006,Master,Female,2397
2007,Master,Female,2338
2008,Master,Female,2300
2009,Master,Female,2286
2010,Master,Female,2412
2011,Master,Female,2479
2012,Master,Female,2612
2013,Master,Female,2637
2014,Master,Female,2672
2015,Master,Female,2662
2016,Master,Female,2696
2017,Master,Female,2720
2018,Master,Female,2704
1960,Doctor,Total,1838
1968,Doctor,Total,3593
1970,Doctor,Total,4271
1971,Doctor,Total,4324
1972,Doctor,Total,4075
1973,Doctor,Total,3961
1974,Doctor,Total,3558
1975,Doctor,Total,3577
1976,Doctor,Total,3388
1977,Doctor,Total,3295
1978,Doctor,Total,3073
1979,Doctor,Total,3061
1980,Doctor,Total,3044
1981,Doctor,Total,3105
1982,Doctor,Total,3246
1983,Doctor,Total,3214
1984,Doctor,Total,3269
1985,Doctor,Total,3349
1986,Doctor,Total,3521
1987,Doctor,Total,3629
1988,Doctor,Total,3758
1989,Doctor,Total,3795
1990,Doctor,Total,4116
1991,Doctor,Total,4248
1992,Doctor,Total,4378
1993,Doctor,Total,4372
1994,Doctor,Total,4652
1995,Doctor,Total,4486
1996,Doctor,Total,4589
1997,Doctor,Total,4501
1998,Doctor,Total,4592
1999,Doctor,Total,4229
2000,Doctor,Total,4017
2001,Doctor,Total,3968
2002,Doctor,Total,3824
2003,Doctor,Total,3939
2004,Doctor,Total,3937
2005,Doctor,Total,4248
2006,Doctor,Total,4642
2007,Doctor,Total,5041
2008,Doctor,Total,4995
2009,Doctor,Total,5237
2010,Doctor,Total,5065
2011,Doctor,Total,5295
2012,Doctor,Total,5370
2013,Doctor,Total,5514
2014,Doctor,Total,5806
2015,Doctor,Total,5823
2016,Doctor,Total,6057
2017,Doctor,Total,6027
2018,Doctor,Total,6181
1960,Doctor,Male,1776
1968,Doctor,Male,3405
1970,Doctor,Male,4038
1971,Doctor,Male,4082
1972,Doctor,Male,3805
1973,Doctor,Male,3698
1974,Doctor,Male,3312
1975,Doctor,Male,3284
1976,Doctor,Male,3097
1977,Doctor,Male,2981
1978,Doctor,Male,2763
1979,Doctor,Male,2717
1980,Doctor,Male,2669
1981,Doctor,Male,2733
1982,Doctor,Male,2804
1983,Doctor,Male,2767
1984,Doctor,Male,2789
1985,Doctor,Male,2808
1986,Doctor,Male,2946
1987,Doctor,Male,3004
1988,Doctor,Male,3085
1989,Doctor,Male,3046
1990,Doctor,Male,3328
1991,Doctor,Male,3417
1992,Doctor,Male,3433
1993,Doctor,Male,3426
1994,Doctor,Male,3657
1995,Doctor,Male,3443
1996,Doctor,Male,3543
1997,Doctor,Male,3479
1998,Doctor,Male,3451
1999,Doctor,Male,3206
2000,Doctor,Male,3002
2001,Doctor,Male,2914
2002,Doctor,Male,2766
2003,Doctor,Male,2854
2004,Doctor,Male,2855
2005,Doctor,Male,3071
2006,Doctor,Male,3258
2007,Doctor,Male,3454
2008,Doctor,Male,3515
2009,Doctor,Male,3554
2010,Doctor,Male,3406
2011,Doctor,Male,3608
2012,Doctor,Male,3609
2013,Doctor,Male,3646
2014,Doctor,Male,3873
2015,Doctor,Male,3826
2016,Doctor,Male,4102
2017,Doctor,Male,4072
2018,Doctor,Male,4074
1960,Doctor,Female,62
1968,Doctor,Female,188
1970,Doctor,Female,233
1971,Doctor,Female,242
1972,Doctor,Female,270
1973,Doctor,Female,263
1974,Doctor,Female,246
1975,Doctor,Female,293
1976,Doctor,Female,291
1977,Doctor,Female,314
1978,Doctor,Female,310
1979,Doctor,Female,344
1980,Doctor,Female,375
1981,Doctor,Female,372
1982,Doctor,Female,442
1983,Doctor,Female,447
1984,Doctor,Female,480
1985,Doctor,Female,541
