Year,Degree level,Count type,value
1950,Bachelor,Total,9569
1960,Bachelor,Total,8061
1968,Bachelor,Total,23819
1970,Bachelor,Total,33679
1971,Bachelor,Total,38187
1972,Bachelor,Total,43433
1973,Bachelor,Total,47940
1974,Bachelor,Total,52139
1975,Bachelor,Total,51245
1976,Bachelor,Total,50278
1977,Bachelor,Total,47861
1978,Bachelor,Total,44879
1979,Bachelor,Total,42697
1980,Bachelor,Total,42093
1981,Bachelor,Total,41068
1982,Bachelor,Total,41212
1983,Bachelor,Total,40460
1984,Bachelor,Total,39955
1985,Bachelor,Total,39900
1986,Bachelor,Total,40628
1987,Bachelor,Total,43152
1988,Bachelor,Total,45371
1989,Bachelor,Total,49083
1990,Bachelor,Total,53952
1991,Bachelor,Total,58655
1992,Bachelor,Total,63683
1993,Bachelor,Total,66931
1994,Bachelor,Total,69419
1995,Bachelor,Total,72233
1996,Bachelor,Total,73416
1997,Bachelor,Total,74308
1998,Bachelor,Total,74107
1999,Bachelor,Total,73747
2000,Bachelor,Total,74194
2001,Bachelor,Total,73645
2002,Bachelor,Total,76775
2003,Bachelor,Total,78650
2004,Bachelor,Total,82098
2005,Bachelor,Total,85614
2006,Bachelor,Total,88132
2007,Bachelor,Total,90073
2008,Bachelor,Total,92562
2009,Bachelor,Total,94273
2010,Bachelor,Total,97215
2011,Bachelor,Total,100906
2012,Bachelor,Total,109099
2013,Bachelor,Total,114446
2014,Bachelor,Total,117312
2015,Bachelor,Total,117573
2016,Bachelor,Total,117447
2017,Bachelor,Total,116859
2018,Bachelor,Total,116432
1950,Bachelor,Male,6055
1960,Bachelor,Male,4773
1968,Bachelor,Male,13792
1970,Bachelor,Male,19077
1971,Bachelor,Male,21227
1972,Bachelor,Male,23352
1973,Bachelor,Male,25117
1974,Bachelor,Male,25868
1975,Bachelor,Male,24284
1976,Bachelor,Male,22898
1977,Bachelor,Male,20627
1978,Bachelor,Male,18422
1979,Bachelor,Male,16540
1980,Bachelor,Male,15440
1981,Bachelor,Male,14332
1982,Bachelor,Male,13645
1983,Bachelor,Male,13131
1984,Bachelor,Male,12812
1985,Bachelor,Male,12706
1986,Bachelor,Male,12605
1987,Bachelor,Male,13395
1988,Bachelor,Male,13579
1989,Bachelor,Male,14265
1990,Bachelor,Male,15336
1991,Bachelor,Male,16067
1992,Bachelor,Male,17062
1993,Bachelor,Male,17942
1994,Bachelor,Male,18668
1995,Bachelor,Male,19570
1996,Bachelor,Male,19836
1997,Bachelor,Male,19408
1998,Bachelor,Male,18976
1999,Bachelor,Male,18376
2000,Bachelor,Male,17451
2001,Bachelor,Male,16585
2002,Bachelor,Male,17284
2003,Bachelor,Male,17514
2004,Bachelor,Male,18193
2005,Bachelor,Male,19000
2006,Bachelor,Male,19865
2007,Bachelor,Male,20336
2008,Bachelor,Male,21191
2009,Bachelor,Male,21490
2010,Bachelor,Male,22262
2011,Bachelor,Male,23230
2012,Bachelor,Male,25420
2013,Bachelor,Male,26814
2014,Bachelor,Male,27306
2015,Bachelor,Male,26803
2016,Bachelor,Male,26277
2017,Bachelor,Male,25520
2018,Bachelor,Male,24578
1950,Bachelor,Female,3514
1960,Bachelor,Female,3288
1968,Bachelor,Female,10027
1970,Bachelor,Female,14602
1971,Bachelor,Female,16960
1972,Bachelor,Female,20081
1973,Bachelor,Female,22823
1974,Bachelor,Female,26271
1975,Bachelor,Female,26961
1976,Bachelor,Female,27380
1977,Bachelor,Female,27234
1978,Bachelor,Female,26457
1979,Bachelor,Female,26157
1980,Bachelor,Female,26653
1981,Bachelor,Female,26736
1982,Bachelor,Female,27567
1983,Bachelor,Female,27329
1984,Bachelor,Female,27143
1985,Bachelor,Female,27194
1986,Bachelor,Female,28023
1987,Bachelor,Female,29757
1988,Bachelor,Female,31792
1989,Bachelor,Female,34818
1990,Bachelor,Female,38616
1991,Bachelor,Female,42588
1992,Bachelor,Female,46621
1993,Bachelor,Female,48989
1994,Bachelor,Female,50751
1995,Bachelor,Female,52663
1996,Bachelor,Female,53580
1997,Bachelor,Female,54900
1998,Bachelor,Female,55131
1999,Bachelor,Female,55371
2000,Bachelor,Female,56743
2001,Bachelor,Female,57060
2002,Bachelor,Female,59491
2003,Bachelor,Female,61136
2004,Bachelor,Female,63905
2005,Bachelor,Female,66614
2006,Bachelor,Female,68267
2007,Bachelor,Female,69737
2008,Bachelor,Female,71371
2009,Bachelor,Female,72783
2010,Bachelor,Female,74953
2011,Bachelor,Female,77676
2012,Bachelor,Female,83679
2013,Bachelor,Female,87632
2014,Bachelor,Female,90006
2015,Bachelor,Female,90770
2016,Bachelor,Female,91170
2017,Bachelor,Female,91339
2018,Bachelor,Female,91854
1950,Master,Total,1316
1960,Master,Total,1406
1968,Master,Total,3479
1970,Master,Total,5158
1971,Master,Total,5717
1972,Master,Total,6764
1973,Master,Total,7619
1974,Master,Total,8796
1975,Master,Total,9394
1976,Master,Total,10167
1977,Master,Total,10859
1978,Master,Total,10282
1979,Master,Total,10132
1980,Master,Total,9938
1981,Master,Total,10223
1982,Master,Total,9947
1983,Master,Total,9981
1984,Master,Total,9525
1985,Master,Total,9891
1986,Master,Total,9845
1987,Master,Total,11000
1988,Master,Total,10488
1989,Master,Total,11329
1990,Master,Total,10730
1991,Master,Total,11349
1992,Master,Total,11659
1993,Master,Total,12518
1994,Master,Total,13723
1995,Master,Total,15378
1996,Master,Total,15152
1997,Master,Total,15769
1998,Master,Total,15142
1999,Master,Total,15560
2000,Master,Total,15740
2001,Master,Total,16539
2002,Master,Total,16357
2003,Master,Total,17161
2004,Master,Total,17898
2005,Master,Total,18830
2006,Master,Total,19775
2007,Master,Total,21096
2008,Master,Total,21420
2009,Master,Total,23415
2010,Master,Total,23763
2011,Master,Total,25062
2012,Master,Total,27052
2013,Master,Total,27787
2014,Master,Total,27926
2015,Master,Total,26772
2016,Master,Total,27645
2017,Master,Total,27539
2018,Master,Total,27841
1950,Master,Male,948
1960,Master,Male,981
1968,Master,Male,2321
1970,Master,Male,2975
1971,Master,Male,3395
1972,Master,Male,3934
1973,Master,Male,4325
1974,Master,Male,4983
1975,Master,Male,5035
1976,Master,Male,5136
1977,Master,Male,5293
1978,Master,Male,4670
1979,Master,Male,4405
1980,Master,Male,4096
1981,Master,Male,4066
1982,Master,Male,3823
1983,Master,Male,3647
1984,Master,Male,3400
1985,Master,Male,3452
1986,Master,Male,3347
1987,Master,Male,3516
1988,Master,Male,3256
1989,Master,Male,3465
1990,Master,Male,3377
1991,Master,Male,3329
1992,Master,Male,3335
1993,Master,Male,3380
1994,Master,Male,3763
1995,Master,Male,4210
1996,Master,Male,4090
1997,Master,Male,4155
1998,Master,Male,3978
1999,Master,Male,3959
2000,Master,Male,3821
2001,Master,Male,3892
2002,Master,Male,3814
2003,Master,Male,3839
2004,Master,Male,3789
2005,Master,Male,3900
2006,Master,Male,4079
2007,Master,Male,4273
2008,Master,Male,4354
2009,Master,Male,4789
2010,Master,Male,4799
2011,Master,Male,5127
2012,Master,Male,5482
2013,Master,Male,5715
2014,Master,Male,5729
2015,Master,Male,5538
2016,Master,Male,5571
2017,Master,Male,5586
2018,Master,Male,5526
1950,Master,Female,368
1960,Master,Female,425
1968,Master,Female,1158
1970,Master,Female,2183
1971,Master,Female,2322
1972,Master,Female,2830
1973,Master,Female,3294
1974,Master,Female,3813
1975,Master,Female,4359
1976,Master,Female,5031
1977,Master,Female,5566
1978,Master,Female,5612
1979,Master,Female,5727
1980,Master,Female,5842
1981,Master,Female,6157
1982,Master,Female,6124
1983,Master,Female,6334
1984,Master,Female,6125
1985,Master,Female,6439
1986,Master,Female,6498
1987,Master,Female,7484
1988,Master,Female,7232
1989,Master,Female,7864
1990,Master,Female,7353
1991,Master,Female,8020
1992,Master,Female,8324
1993,Master,Female,9138
1994,Master,Female,9960
1995,Master,Female,11168
1996,Master,Female,11062
1997,Master,Female,11614
1998,Master,Female,11164
1999,Master,Female,11601
2000,Master,Female,11919
2001,Master,Female,12647
2002,Master,Female,12543
2003,Master,Female,13322
2004,Master,Female,14109
2005,Master,Female,14930
2006,Master,Female,15696
2007,Master,Female,16823
2008,Master,Female,17066
2009,Master,Female,18626
2010,Master,Female,18964
2011,Master,Female,19935
2012,Master,Female,21570
2013,Master,Female,22072
2014,Master,Female,22197
2015,Master,Female,21234
2016,Master,Female,22074
2017,Master,Female,21953
2018,Master,Female,22315
