Year,Degree level,Count type,value
1971,Bachelor,Total,155324
1972,Bachelor,Total,158060
1973,Bachelor,Total,155970
1974,Bachelor,Total,150320
1975,Bachelor,Total,135190
1976,Bachelor,Total,126396
1977,Bachelor,Total,117040
1978,Bachelor,Total,112952
1979,Bachelor,Total,108059
1980,Bachelor,Total,103662
1981,Bachelor,Total,100513
1982,Bachelor,Total,99705
1983,Bachelor,Total,95228
1984,Bachelor,Total,93323
1985,Bachelor,Total,91570
1986,Bachelor,Total,93840
1987,Bachelor,Total,96342
1988,Bachelor,Total,100460
1989,Bachelor,Total,108151
1990,Bachelor,Total,118083
1991,Bachelor,Total,125107
1992,Bachelor,Total,133974
1993,Bachelor,Total,135703
1994,Bachelor,Total,133680
1995,Bachelor,Total,128154
1996,Bachelor,Total,126479
1997,Bachelor,Total,124891
1998,Bachelor,Total,125040
1999,Bachelor,Total,124815
2000,Bachelor,Total,127101
2001,Bachelor,Total,128036
2002,Bachelor,Total,132874
2003,Bachelor,Total,143256
2004,Bachelor,Total,150357
2005,Bachelor,Total,156892
2006,Bachelor,Total,161468
2007,Bachelor,Total,164229
2008,Bachelor,Total,167321
2009,Bachelor,Total,168517
2010,Bachelor,Total,172782
2011,Bachelor,Total,177169
2012,Bachelor,Total,178534
2013,Bachelor,Total,177767
2014,Bachelor,Total,173132
2015,Bachelor,Total,166971
2016,Bachelor,Total,161211
2017,Bachelor,Total,159097
2018,Bachelor,Total,159967
1971,Bachelor,Male,98173
1972,Bachelor,Male,100895
1973,Bachelor,Male,99735
1974,Bachelor,Male,95650
1975,Bachelor,Male,84826
1976,Bachelor,Male,78691
1977,Bachelor,Male,71128
1978,Bachelor,Male,67217
1979,Bachelor,Male,62852
1980,Bachelor,Male,58511
1981,Bachelor,Male,56131
1982,Bachelor,Male,55196
1983,Bachelor,Male,52771
1984,Bachelor,Male,52154
1985,Bachelor,Male,51226
1986,Bachelor,Male,52724
1987,Bachelor,Male,53949
1988,Bachelor,Male,56377
1989,Bachelor,Male,60121
1990,Bachelor,Male,65887
1991,Bachelor,Male,68701
1992,Bachelor,Male,73001
1993,Bachelor,Male,73589
1994,Bachelor,Male,72006
1995,Bachelor,Male,68139
1996,Bachelor,Male,65872
1997,Bachelor,Male,64115
1998,Bachelor,Male,63537
1999,Bachelor,Male,61843
2000,Bachelor,Male,62062
2001,Bachelor,Male,61749
2002,Bachelor,Male,64170
2003,Bachelor,Male,69517
2004,Bachelor,Male,73834
2005,Bachelor,Male,77702
2006,Bachelor,Male,80793
2007,Bachelor,Male,82431
2008,Bachelor,Male,84850
2009,Bachelor,Male,85202
2010,Bachelor,Male,87404
2011,Bachelor,Male,89809
2012,Bachelor,Male,90628
2013,Bachelor,Male,90143
2014,Bachelor,Male,88254
2015,Bachelor,Male,85484
2016,Bachelor,Male,81292
2017,Bachelor,Male,79565
2018,Bachelor,Male,79628
1971,Bachelor,Female,57151
1972,Bachelor,Female,57165
1973,Bachelor,Female,56235
1974,Bachelor,Female,54670
1975,Bachelor,Female,50364
1976,Bachelor,Female,47705
1977,Bachelor,Female,45912
1978,Bachelor,Female,45735
1979,Bachelor,Female,45207
1980,Bachelor,Female,45151
1981,Bachelor,Female,44382
1982,Bachelor,Female,44509
1983,Bachelor,Female,42457
1984,Bachelor,Female,41169
1985,Bachelor,Female,40344
1986,Bachelor,Female,41116
1987,Bachelor,Female,42393
1988,Bachelor,Female,44083
1989,Bachelor,Female,48030
1990,Bachelor,Female,52196
1991,Bachelor,Female,56406
1992,Bachelor,Female,60973
1993,Bachelor,Female,62114
1994,Bachelor,Female,61674
1995,Bachelor,Female,60015
1996,Bachelor,Female,60607
1997,Bachelor,Female,60776
1998,Bachelor,Female,61503
1999,Bachelor,Female,62972
2000,Bachelor,Female,65039
2001,Bachelor,Female,66287
2002,Bachelor,Female,68704
2003,Bachelor,Female,73739
2004,Bachelor,Female,76523
2005,Bachelor,Female,79190
2006,Bachelor,Female,80675
2007,Bachelor,Female,81798
2008,Bachelor,Female,82471
2009,Bachelor,Female,83315
2010,Bachelor,Female,85378
2011,Bachelor,Female,87360
2012,Bachelor,Female,87906
2013,Bachelor,Female,87624
2014,Bachelor,Female,84878
2015,Bachelor,Female,81487
2016,Bachelor,Female,79919
2017,Bachelor,Female,79532
2018,Bachelor,Female,80339
1971,Master,Total,16539
1972,Master,Total,17445
1973,Master,Total,17477
1974,Master,Total,17293
1975,Master,Total,16977
1976,Master,Total,15953
1977,Master,Total,15533
1978,Master,Total,14718
1979,Master,Total,12963
1980,Master,Total,12176
1981,Master,Total,11945
1982,Master,Total,12002
1983,Master,Total,11205
1984,Master,Total,10577
1985,Master,Total,10503
1986,Master,Total,10564
1987,Master,Total,10506
1988,Master,Total,10412
1989,Master,Total,11023
1990,Master,Total,11634
1991,Master,Total,12233
1992,Master,Total,12702
1993,Master,Total,13471
1994,Master,Total,14561
1995,Master,Total,14845
1996,Master,Total,15012
1997,Master,Total,14787
1998,Master,Total,14938
1999,Master,Total,14396
2000,Master,Total,14066
2001,Master,Total,13791
2002,Master,Total,14112
2003,Master,Total,14630
2004,Master,Total,16110
2005,Master,Total,16952
2006,Master,Total,17368
2007,Master,Total,17666
2008,Master,Total,18496
2009,Master,Total,19241
2010,Master,Total,20234
2011,Master,Total,21085
2012,Master,Total,21891
2013,Master,Total,21591
2014,Master,Total,21497
2015,Master,Total,20533
2016,Master,Total,19861
2017,Master,Total,20004
2018,Master,Total,19884
1971,Master,Male,11833
1972,Master,Male,12540
1973,Master,Male,12605
1974,Master,Male,12321
1975,Master,Male,11875
1976,Master,Male,10918
1977,Master,Male,10413
1978,Master,Male,9845
1979,Master,Male,8395
1980,Master,Male,7794
1981,Master,Male,7457
1982,Master,Male,7468
1983,Master,Male,6974
1984,Master,Male,6551
1985,Master,Male,6475
1986,Master,Male,6419
1987,Master,Male,6373
1988,Master,Male,6310
1989,Master,Male,6599
1990,Master,Male,6898
1991,Master,Male,7016
1992,Master,Male,7237
1993,Master,Male,7671
1994,Master,Male,8152
1995,Master,Male,8207
1996,Master,Male,8093
1997,Master,Male,7830
1998,Master,Male,7960
1999,Master,Male,7440
2000,Master,Male,7024
2001,Master,Male,6816
2002,Master,Male,6941
2003,Master,Male,7202
2004,Master,Male,7810
2005,Master,Male,8256
2006,Master,Male,8416
2007,Master,Male,8577
2008,Master,Male,9346
2009,Master,Male,9605
2010,Master,Male,9967
2011,Master,Male,10578
2012,Master,Male,10987
2013,Master,Male,10811
2014,Master,Male,10764
2015,Master,Male,10318
2016,Master,Male,10010
2017,Master,Male,9905
2018,Master,Male,9832
1971,Master,Female,4706
1972,Master,Female,4905
1973,Master,Female,4872
1974,Master,Female,4972
1975,Master,Female,5102
1976,Master,Female,5035
1977,Master,Female,5120
1978,Master,Female,4873
1979,Master,Female,4568
1980,Master,Female,4382
1981,Master,Female,4488
1982,Master,Female,4534
1983,Master,Female,4231
1984,Master,Female,4026
1985,Master,Female,4028
1986,Master,Female,4145
1987,Master,Female,4133
1988,Master,Female,4102
1989,Master,Female,4424
1990,Master,Female,4736
1991,Master,Female,5217
1992,Master,Female,5465
1993,Master,Female,5800
1994,Master,Female,6409
1995,Master,Female,6638
1996,Master,Female,6919
1997,Master,Female,6957
1998,Master,Female,6978
1999,Master,Female,6956
2000,Master,Female,7042
2001,Master,Female,6975
2002,Master,Female,7171
2003,Master,Female,7428
2004,Master,Female,8300
2005,Master,Female,8696
2006,Master,Female,8952
2007,Master,Female,9089
2008,Master,Female,9150
2009,Master,Female,9636
2010,Master,Female,10267
2011,Master,Female,10507
2012,Master,Female,10904
2013,Master,Female,10780
2014,Master,Female,10733
2015,Master,Female,10215
2016,Master,Female,9851
2017,Master,Female,10099
2018,Master,Female,10052
1971,Doctor,Total,3660
1972,Doctor,Total,4081
1973,Doctor,Total,4234
1974,Doctor,Total,4124
1975,Doctor,Total,4212
1976,Doctor,Total,4157
1977,Doctor,Total,3802
1978,Doctor,Total,3594
1979,Doctor,Total,3371
1980,Doctor,Total,3230
1981,Doctor,Total,3122
1982,Doctor,Total,3061
1983,Doctor,Total,2931
1984,Doctor,Total,2911
1985,Doctor,Total,2851
1986,Doctor,Total,2955
1987,Doctor,Total,2916
1988,Doctor,Total,2781
1989,Doctor,Total,2885
1990,Doctor,Total,3010
1991,Doctor,Total,3012
1992,Doctor,Total,3218
1993,Doctor,Total,3460
1994,Doctor,Total,3627
1995,Doctor,Total,3725
1996,Doctor,Total,3760
1997,Doctor,Total,3989
1998,Doctor,Total,4127
1999,Doctor,Total,3873
2000,Doctor,Total,4095
2001,Doctor,Total,3930
2002,Doctor,Total,3902
2003,Doctor,Total,3850
2004,Doctor,Total,3811
2005,Doctor,Total,3819
2006,Doctor,Total,3914
2007,Doctor,Total,3844
2008,Doctor,Total,4058
2009,Doctor,Total,4234
2010,Doctor,Total,4238
2011,Doctor,Total,4390
2012,Doctor,Total,4597
2013,Doctor,Total,4610
2014,Doctor,Total,4724
2015,Doctor,Total,4828
2016,Doctor,Total,4706
2017,Doctor,Total,4706
2018,Doctor,Total,4676
1971,Doctor,Male,3153
1972,Doctor,Male,3483
1973,Doctor,Male,3573
1974,Doctor,Male,3383
1975,Doctor,Male,3334
1976,Doctor,Male,3262
1977,Doctor,Male,2957
1978,Doctor,Male,2722
1979,Doctor,Male,2501
1980,Doctor,Male,2357
1981,Doctor,Male,2274
1982,Doctor,Male,2237
1983,Doctor,Male,2042
1984,Doctor,Male,2030
1985,Doctor,Male,1933
1986,Doctor,Male,1970
1987,Doctor,Male,2026
1988,Doctor,Male,1849
1989,Doctor,Male,1949
1990,Doctor,Male,2019
1991,Doctor,Male,1956
1992,Doctor,Male,2126
1993,Doctor,Male,2203
1994,Doctor,Male,2317
1995,Doctor,Male,2319
1996,Doctor,Male,2339
1997,Doctor,Male,2479
1998,Doctor,Male,2445
1999,Doctor,Male,2290
2000,Doctor,Male,2407
2001,Doctor,Male,2302
2002,Doctor,Male,2219
2003,Doctor,Male,2196
2004,Doctor,Male,2188
2005,Doctor,Male,2184
2006,Doctor,Male,2218
2007,Doctor,Male,2110
2008,Doctor,Male,2192
2009,Doctor,Male,2353
2010,Doctor,Male,2292
2011,Doctor,Male,2331
2012,Doctor,Male,2464
2013,Doctor,Male,2461
2014,Doctor,Male,2494
2015,Doctor,Male,2589
2016,Doctor,Male,2594
2017,Doctor,Male,2572
2018,Doctor,Male,2475
1971,Doctor,Female,507
1972,Doctor,Female,598
1973,Doctor,Female,661
1974,Doctor,Female,741
1975,Doctor,Female,878
1976,Doctor,Female,895
1977,Doctor,Female,845
1978,Doctor,Female,872
1979,Doctor,Female,870
1980,Doctor,Female,873
1981,Doctor,Female,848
1982,Doctor,Female,824
1983,Doctor,Female,889
1984,Doctor,Female,881
1985,Doctor,Female,918
1986,Doctor,Female,985
1987,Doctor,Female,890
1988,Doctor,Female,932
1989,Doctor,Female,936
1990,Doctor,Female,991
1991,Doctor,Female,1056
1992,Doctor,Female,1092
1993,Doctor,Female,1257
1994,Doctor,Female,1310
1995,Doctor,Female,1406
1996,Doctor,Female,1421
1997,Doctor,Female,1510
1998,Doctor,Female,1682
1999,Doctor,Female,1583
2000,Doctor,Female,1688
2001,Doctor,Female,1628
2002,Doctor,Female,1683
2003,Doctor,Female,1654
2004,Doctor,Female,1623
2005,Doctor,Female,1635
2006,Doctor,Female,1696
2007,Doctor,Female,1734
2008,Doctor,Female,1866
2009,Doctor,Female,1881
2010,Doctor,Female,1946
2011,Doctor,Female,2059
2012,Doctor,Female,2133
2013,Doctor,Female,2149
2014,Doctor,Female,2230
2015,Doctor,Female,2239
2016,Doctor,Female,2112
2017,Doctor,Female,2134
2018,Doctor,Female,2201
